x,y,yaw,curvature
-0.243755,5.114175,2.653983,0.398204
-0.257726,5.121528,2.660257,0.396660
-0.271751,5.128797,2.666512,0.395182
-0.285830,5.135984,2.672747,0.393769
-0.299961,5.143086,2.678964,0.392422
-0.314144,5.150104,2.685163,0.391139
-0.328377,5.157038,2.691346,0.389922
-0.342659,5.163888,2.697513,0.388770
-0.356989,5.170652,2.703694,0.392020
-0.371367,5.177329,2.709942,0.396308
-0.385788,5.183916,2.716261,0.400801
-0.400253,5.190413,2.722653,0.405501
-0.414759,5.196817,2.729122,0.410411
-0.429304,5.203125,2.735669,0.415534
-0.443886,5.209335,2.742297,0.420875
-0.458504,5.215446,2.749009,0.426438
-0.473156,5.221455,2.755808,0.432225
-0.487840,5.227359,2.762696,0.438243
-0.502554,5.233158,2.769676,0.444494
-0.517296,5.238849,2.776751,0.450984
-0.532064,5.244429,2.783923,0.457717
-0.546857,5.249897,2.791197,0.464698
-0.561673,5.255250,2.798574,0.471932
-0.576510,5.260486,2.806058,0.479425
-0.591366,5.265604,2.813651,0.487181
-0.606239,5.270600,2.821358,0.495206
-0.621127,5.275474,2.829180,0.503505
-0.636029,5.280222,2.837122,0.512084
-0.650943,5.284843,2.845186,0.520949
-0.665866,5.289334,2.853376,0.530103
-0.680798,5.293693,2.861695,0.539555
-0.695736,5.297919,2.870146,0.549307
-0.710679,5.302009,2.878734,0.559367
-0.725624,5.305961,2.887460,0.569740
-0.740570,5.309773,2.896330,0.580430
-0.755514,5.313442,2.905347,0.591443
-0.770456,5.316967,2.914513,0.602783
-0.785393,5.320345,2.923833,0.614455
-0.800324,5.323575,2.933311,0.626464
-0.815246,5.326654,2.942949,0.638812
-0.830157,5.329580,2.952753,0.651504
-0.845057,5.332351,2.962725,0.664541
-0.859943,5.334965,2.972869,0.677927
-0.874813,5.337419,2.983189,0.691663
-0.889666,5.339712,2.993690,0.705750
-0.904499,5.341841,3.004373,0.720187
-0.919310,5.343805,3.015244,0.734974
-0.934099,5.345601,3.026305,0.750108
-0.948863,5.347226,3.037561,0.765587
-0.963600,5.348680,3.049015,0.781405
-0.978309,5.349960,3.060671,0.797558
-0.992987,5.351063,3.072531,0.814037
-1.007633,5.351987,3.084600,0.830833
-1.022245,5.352731,3.096881,0.847936
-1.036821,5.353293,3.109376,0.865333
-1.051359,5.353669,3.122089,0.883008
-1.065857,5.353858,3.135022,0.900945
-1.080315,5.353859,-3.135007,0.919124
-1.094728,5.353667,-3.121625,0.937523
-1.109097,5.353283,-3.108016,0.956118
-1.123419,5.352703,-3.094177,0.974881
-1.137693,5.351925,-3.080106,0.993783
-1.151915,5.350948,-3.065803,1.012789
-1.166086,5.349769,-3.051267,1.031864
-1.180202,5.348385,-3.036496,1.050969
-1.194262,5.346796,-3.021490,1.070062
-1.208264,5.344998,-3.006249,1.089096
-1.222206,5.342990,-2.990774,1.108024
-1.236087,5.340769,-2.975066,1.126793
-1.249904,5.338333,-2.959126,1.145348
-1.263656,5.335681,-2.942956,1.163633
-1.277341,5.332809,-2.926559,1.181587
-1.290957,5.329717,-2.909938,1.199147
-1.304503,5.326401,-2.893095,1.216249
-1.317976,5.322861,-2.876036,1.232826
-1.331374,5.319092,-2.858765,1.248809
-1.344696,5.315094,-2.841287,1.264129
-1.357941,5.310865,-2.823812,1.248843
-1.371108,5.306408,-2.806568,1.231852
-1.384198,5.301725,-2.789566,1.213937
-1.397213,5.296820,-2.772812,1.195185
-1.410152,5.291696,-2.756313,1.175683
-1.423016,5.286357,-2.740078,1.155516
-1.435806,5.280805,-2.724110,1.134768
-1.448523,5.275044,-2.708416,1.113519
-1.461167,5.269077,-2.692998,1.091849
-1.473739,5.262908,-2.677861,1.069833
-1.486240,5.256539,-2.663008,1.047542
-1.498670,5.249975,-2.648440,1.025045
-1.511031,5.243217,-2.634159,1.002405
-1.523322,5.236270,-2.620167,0.979682
-1.535544,5.229136,-2.606463,0.956931
-1.547699,5.221819,-2.593049,0.934205
-1.559787,5.214323,-2.579922,0.911550
-1.571808,5.206650,-2.567083,0.889009
-1.583763,5.198803,-2.554531,0.866621
-1.595653,5.190786,-2.542262,0.844422
-1.607479,5.182603,-2.530277,0.822443
-1.619240,5.174256,-2.518572,0.800711
-1.630939,5.165748,-2.507146,0.779250
-1.642575,5.157084,-2.495994,0.758082
-1.654150,5.148265,-2.485115,0.737225
-1.665664,5.139296,-2.474506,0.716694
-1.677117,5.130180,-2.464163,0.696502
-1.688510,5.120919,-2.454083,0.676657
-1.699845,5.111517,-2.444262,0.657169
-1.711121,5.101978,-2.434698,0.638043
-1.722340,5.092305,-2.425385,0.619282
-1.733501,5.082500,-2.416322,0.600889
